Ind	Lon	Lat
Bsyl_609	-3.1	59.1
Bsyl_610	-6.5	56.7
Bsyl_611	7.9	62.4
Bsyl_612	4.5	51.5
Bsyl_613	0.5	45.5
Bsyl_614	16.4	50.5
Bsyl_615	-6.8	57.9
Bsyl_616	3.5	50.5
Bsyl_617	-2.7	47.7
Bsyl_618	-6.7	43.5
Bsyl_619	-9.1	38.4
Bsyl_620	-4.2	34.1
Bsyl_621	-0.9	41.7
Bsyl_622	5.2	59.6
Bsyl_623	27.7	42.7
Bsyl_624	50.7	34.1
Bsyl_625	26.6	47.3
Bsyl_626	23.4	41.3
Bsyl_627	39.8	41
Bsyl_628	20.4	49.4
Bsyl_629	-4.6	34.8
Bsyl_630	22.5	37
Bsyl_631	28	42
Bsyl_632	28.7	45.1
Bsyl_633	23.5	44.5
Bsyl_634	22.4	41
Bsyl_635	24.3	41.5
Bsyl_636	24.2	40.9
Bsyl_637	21.6	39.5
Bsyl_638	20.5	54.7
Bsyl_639	21.4	38.7
Bsyl_640	-3.7	42.4
Bsyl_641	22.2	39.1
Bsyl_642	44.8	41.2
Bsyl_643	14.5	36.9
Bsyl_644	27	39.6
Bsyl_645	28.8	36.8
Bsyl_646	5.2	36.7
Bsyl_647	-1.3	54.8
Bsyl_648	-4.5	53.3
Bsyl_649	-3.2	51.9
Bsyl_650	-4	52.8
Bsyl_651	-3.3	52.4
Bsyl_652	10.3	46.5
Bsyl_653	19.2	49.2
Bsyl_654	-1.9	50.9
Bsyl_655	-2.8	50.8
Bsyl_656	-1.2	45.8
Bsyl_657	17.5	60.5
Bsyl_658	16.3	39.3
Bsyl_659	12.9	43
Bsyl_660	13.5	43.5
Bsyl_661	16.4	39.9
Bsyl_662	9.8	56.5
Bsyl_663	9.1	55.4
Bsyl_664	1.3	51.9
Bsyl_665	-3.4	48
Bsyl_666	-2.8	53.5
Bsyl_667	0.5	51
Bsyl_668	-0.5	50.8
Bsyl_669	43.9	54
Bsyl_670	87.7	51.3
Bsyl_671	39	54
Bsyl_672	45.7	53.3
Bsyl_673	40.7	54.6
Bsyl_674	6.5	58.6
Bsyl_675	10.7	55.5
Bsyl_676	3.7	49.3
Bsyl_677	14.4	48.3
Bsyl_678	-5.2	56.7
Bsyl_679	-2.9	55.2
Bsyl_680	1.1	52.9
Bsyl_681	8	48.9
Bsyl_682	7.1	48.5
Bsyl_683	7.1	47.9
Bsyl_684	10.9	63.6
Bsyl_685	6.8	61.9
Bsyl_686	-1	43.2
Bsyl_687	0.5	48.7
Bsyl_688	-1.5	42
Bsyl_689	16.5	57.9
Bsyl_690	0.6	49.2
Bsyl_691	0.6	49.9
Bsyl_692	6.2	45.4
Bsyl_693	2.3	44.5
Bsyl_694	0.2	46.1
Bsyl_695	1.3	43
Bsyl_696	3.6	44
Bsyl_697	1.3	44.5
Bsyl_698	2.8	44
Bsyl_699	0.4	46.6
Bsyl_700	8.9	41.8
Bsyl_701	-0.2	46.8
Bsyl_702	4	45.4
Bsyl_703	-2.5	42.7
Bsyl_704	9.5	42.7
Bsyl_705	-3.1	37.5
Bsyl_706	-6	36.4
Bsyl_707	-4.8	37.9
Bsyl_708	-2.8	36.9
Bsyl_709	-6.9	38
Bsyl_710	-4.8	36.6
Bsyl_711	-4.8	37.1
Bsyl_712	-5.6	37.9
Bsyl_713	-3.4	36.9
Bsyl_714	-3.8	37.7
Bsyl_715	38.6	56.4
Bsyl_716	39.8	56.6
Bsyl_717	42.4	56.2
Bsyl_718	42	55.8
Bsyl_719	41.3	55.3
Bsyl_720	39.4	56
Bsyl_721	40.4	56.1
Bsyl_722	105.3	51.5
Bsyl_723	93.5	53.3
Bsyl_724	87.4	52.2
Bsyl_725	87.5	53.3
Bsyl_726	85.7	53.4
Bsyl_727	87.1	54
Bsyl_728	88.3	51.9
Bsyl_729	44.1	44.9
Bsyl_730	37.5	44.8
Bsyl_731	38.4	44.6
Bsyl_732	39	44.9
Bsyl_733	39	44.3
Bsyl_734	39.5	44.6
Bsyl_735	40.2	44.6
Bsyl_736	40	43.7
Bsyl_737	40.6	43.9
Bsyl_738	43.1	44.2
Bsyl_739	42.8	43.7
Bsyl_740	43.4	43.5
Bsyl_741	45.5	43.5
Bsyl_742	47.9	42.1
Bsyl_743	48.4	41.7
Bsyl_744	47.1	44.1
Bsyl_745	92.2	53.6
Bsyl_746	92.8	52.9
Bsyl_747	85.9	51.8
Bsyl_748	86.7	51.9
Bsyl_749	86.9	50.5
Bsyl_750	9.9	37
Bsyl_751	10.6	36.6
Bsyl_752	14.4	37.9
Bsyl_753	14.5	35.9
Bsyl_754	23.7	38.7
Bsyl_755	25.6	40.5
Bsyl_756	23.7	40.5
Bsyl_757	29.6	41
Bsyl_758	27.4	37.7
Bsyl_759	27.8	37.1
Bsyl_760	33.6	35.2
Bsyl_761	36.7	37.1
Bsyl_762	34.1	41.3
Bsyl_763	36.8	38.3
Bsyl_764	41.2	40
Bsyl_765	42.8	39.4
Bsyl_766	49	39.5
Bsyl_767	49.7	37.2
Bsyl_768	45.4	37.6
Bsyl_769	52.6	36
Bsyl_770	53.9	36.4
Bsyl_771	50.5	34.9
Bsyl_772	48.8	33.7
Bsyl_773	47.2	33.7
Bsyl_774	45.2	44
Bsyl_775	32.2	47
Bsyl_776	34.7	47.7
Bsyl_777	34.6	49.2
Bsyl_778	56.1	54.9
Bsyl_779	55.3	55.8
Bsyl_780	53.3	55.2
Bsyl_781	51.7	54.7
Bsyl_782	50.1	56.3
Bsyl_783	50.7	60.8
Bsyl_784	47.4	59.8
Bsyl_785	45.8	58.2
Bsyl_786	44.4	57.1
Bsyl_787	22.2	57.4
Bsyl_788	23.4	56.7
Bsyl_789	24.4	56.9
Bsyl_790	24.6	58.4
Bsyl_791	22.6	58.9
Bsyl_792	9.7	63.2
Bsyl_793	13.2	59
Bsyl_794	9	56
Bsyl_795	8.7	56.8
Bsyl_796	-4.5	54.2
Bsyl_797	80.9	51.3
Bsyl_798	85.7	51.1
Bsyl_799	84.8	53.4
Bsyl_800	85.7	52.6
Bsyl_801	86.7	53.3
Bsyl_802	88	54.7
Bsyl_803	103.7	52.7
Bsyl_804	109.8	51.2
Bsyl_805	116.3	52.3
Bsyl_806	45.1	40.7
Bsyl_807	46.3	39.5
Bsyl_808	42.2	41.4
Bsyl_809	43.2	40.4
Bsyl_810	40.4	43.2
Bsyl_811	42.8	43
Bsyl_812	41.9	42.4
Bsyl_813	42.6	42.3
Bsyl_814	41.9	41.9
Bsyl_815	42.9	41.5
Bsyl_816	43.5	41.9
Bsyl_817	43.6	42.4
Bsyl_818	44.4	42.3
Bsyl_819	44.2	41.5
Bsyl_820	45.5	41.9
Bsyl_821	46.8	41.6
Bsyl_822	46.3	40.6
Bsyl_823	46.8	40.3
Bsyl_824	47.4	41
Bsyl_825	48	40.8
Bsyl_826	48.4	40.3
Bsyl_827	49	41.3
Bsyl_828	49.2	40.8
Bsyl_829	46.6	39.1
Bsyl_830	48.6	39
Bsyl_831	48.6	38.5
Bsyl_832	23.4	40
Bsyl_833	24.3	40.2
Bsyl_834	27.1	35.6
Bsyl_835	24.8	35.2
Bsyl_836	22.6	38.5
Bsyl_837	21	40.1
Bsyl_838	21.4	40.8
Bsyl_839	24.9	41.2
Bsyl_840	23.5	39.2
Bsyl_841	19.9	41.4
Bsyl_842	17.8	43.3
Bsyl_843	14.6	45.2
Bsyl_844	22.4	44.9
Bsyl_845	25.3	45.5
Bsyl_846	27.2	47.8
Bsyl_847	14.7	40.9
Bsyl_848	9.9	45.4
Bsyl_849	13.4	38.1
Bsyl_850	11.4	46.5
Bsyl_851	9	46.7
Bsyl_852	10.6	47.1
Bsyl_853	18.2	46.1
Bsyl_854	21.7	47.4
Bsyl_855	19.5	47.2
Bsyl_856	17.8	46.8
Bsyl_857	10.8	56.4
Bsyl_858	10	57
Bsyl_859	19.4	53.6
Bsyl_860	22.2	54.1
Bsyl_861	19.3	52.3
Bsyl_862	22.3	49.4
Bsyl_863	19.9	49.8
Bsyl_864	18.7	59.7
Bsyl_865	13	57.4
Bsyl_866	12.8	58.2
Bsyl_867	13.4	57.8
Bsyl_868	13.5	58.5
Bsyl_869	14.6	58.6
Bsyl_870	15.2	58.2
Bsyl_871	14.5	57.3
Bsyl_872	15	56.9
Bsyl_873	13	56.5
